fname,lname,number,position,year,height,weight,hometown,highschool,image_path,teamID
SEAN,CAULFIELD,0,Goalkeeper,R-Jr.,"6'2""",185 lbs,"East Lake, Fla.",East Lake,https://iuhoosiers.com/images/2018/8/13/0_Caulfield__Sean.jpg?width=80,4
TREY,MUSE,1,Goalkeeper,So.,"6'4""",195 lbs,"Louisville, Ky.",Roosevelt (Wash.),https://iuhoosiers.com/images/2018/8/13/1_Muse_Trey.jpg?width=80,4
JORDAN,KLEYN,2,Defender,R-Jr.,"5'11""",165 lbs,"Plainfield, Ind.",Avon,https://iuhoosiers.com/images/2018/8/13/2_Kleyn_Jordan.jpg?width=80,4
JACOB,MEIER,3,Defender,R-Fr.,"6'2""",170 lbs,"Shakopee, Minn.",Shakopee,https://iuhoosiers.com/images/2018/8/13/3_Meier_Jacob.jpg?width=80,4
A.J.,PALAZZOLO,4,Defender,R-So.,"6'1""",165 lbs,"St. Louis, Mo.",Christian Brothers College,https://iuhoosiers.com/images/2018/8/13/4_Palazzolo_A_J_.jpg?width=80,4
TIMMY,MEHL,5,Defender,R-Sr.,"6'1""",170 lbs,"Manhattan Beach, Calif.",Loyola,https://iuhoosiers.com/images/2018/8/13/5_Mehl_Timmy.jpg?width=80,4
JACK,MAHER,6,Defender,Fr.,"6'3""",175 lbs,"Caseyville, Ill.",Althoff Catholic,https://iuhoosiers.com/images/2018/8/13/6_Maher_Jack.jpg?width=80,4
TREVOR,SWARTZ,7,Midfielder,R-Sr.,"5'10""",155 lbs,"Cameron Park, Calif.",Ponderosa,https://iuhoosiers.com/images/2018/8/13/7_Swartz_Trevor.jpg?width=80,4
THOMAS,WARR,9,Forward,So.,"6'0""",175 lbs,"Zionsville, Ind.",Zionsville,https://iuhoosiers.com/images/2018/8/13/9_Warr_Thomas.jpg?width=80,4
JUSTIN,RENNICKS,10,Midfielder/Forward,So.,"5'11""",165 lbs,"Hamilton, Mass.",Hamilton Wenham Regional,https://iuhoosiers.com/images/2018/8/13/10_Rennicks_Justin.jpg?width=80,4
CORY,THOMAS,11,Midfielder,R-Sr.,"6'0""",160 lbs,"Corydon, Ind.",Corydon Central,https://iuhoosiers.com/images/2018/8/13/11_Thomas_Cory.jpg?width=80,4
AUSTIN,PANCHOT,12,Midfielder,Sr.,"5'7""",155 lbs,"St. Louis, Mo.",Lafayette,https://iuhoosiers.com/images/2018/8/13/12_Panchot_Austin.jpg?width=80,4
FRANCESCO,MOORE,13,Midfielder,R-Sr.,"5'10""",168 lbs,"Highland Park, Ill.",Highland Park,https://iuhoosiers.com/images/2018/8/13/13_Moore_Francesco.jpg?width=80,4
GRIFFIN,DORSEY,14,Midfielder/Forward,So.,"6'0""",160 lbs,"Evergreen, Colo.",Evergreen,https://iuhoosiers.com/images/2018/8/13/14_Dorsey_Griffin.jpg?width=80,4
ANDREW,GUTMAN,15,Defender,Sr.,"6'0""",170 lbs,"Hinsdale, Ill.",Hinsdale Central,https://iuhoosiers.com/images/2018/8/13/15_Gutman_Andrew.jpg?width=80,4
JOE,SCHMIDT,16,Midfielder,R-Fr.,"5'8""",155 lbs,"Bainbridge Township, Ohio",University School,https://iuhoosiers.com/images/2018/8/13/16_Schmidt_Joe.jpg?width=80,4
JEREMIAH,GUTJAHR,17,Midfielder,Sr.,"5'10""",160 lbs,"Bloomington, Ind.",North,https://iuhoosiers.com/images/2018/8/13/17_Gutjahr_Jeremiah.jpg?width=80,4
RYAN,WITTENBRINK,18,Forward,Fr.,"6'1""",165 lbs,"Libertyville, Ill.",Libertyville,https://iuhoosiers.com/images/2018/8/13/18_Wittenbrink_Ryan.jpg?width=80,4
RECE,BUCKMASTER,19,Defender/Midfielder,Sr.,"5'8""",145 lbs,"Auburn, Ind.",Canterbury,https://iuhoosiers.com/images/2018/8/13/19_Buckmaster_Rece.jpg?width=80,4
BEN,YEAGLEY,20,Midfielder,Fr.,"5'9""",150 lbs,"Bloomington, Ind.",Bloomington South,https://iuhoosiers.com/images/2018/8/13/20_Yeagley_Ben.jpg?width=80,4
SPENCER,GLASS,21,Midfielder/Defender,R-So.,"6'0""",165 lbs,"Fort Wayne, Ind.",Carroll,https://iuhoosiers.com/images/2018/8/13/21_Glass_Spencer.jpg?width=80,4
IAN,BLACK,22,Forward,R-So.,"5'10""",165 lbs,"Dublin, Ohio",Dublin-Jerome,https://iuhoosiers.com/images/2018/8/13/22_Black_Ian.jpg?width=80,4
ISAAC,SAROSY,23,Defender,Fr.,"5'11""",170 lbs,"Fair Oaks, Ind.",Andrean,https://iuhoosiers.com/images/2018/8/13/23_Sarosy_Isaac.jpg?width=80,4
DANIEL,MUNIE,24,Defender,Fr.,"5'11""",165 lbs,"Maryland Heights, Mo.",Parkway North,https://iuhoosiers.com/images/2018/8/13/24_Munie_Daniel.jpg?width=80,4
TREY,KAPSALIS,25,Midfielder,Fr.,"5'7""",140 lbs,"Fishers, Ind.",Cathedral,https://iuhoosiers.com/images/2018/8/13/25_Kapsalis_Trey.jpg?width=80,4
